"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Johnny Rivers - Rockin' Pneumonia and the Boogie Woogie Flu now playing on Max Radio! https://t.co/AQDXgZwT6H",FALSE,0,NA,2019-03-04 15:22:31,FALSE,NA,"1102590151660756992",NA,"<a href=""http://macinmind.com/Radiologik"" rel=""nofollow"">Radiologik DJ</a>","MaxRadioCanada",0,FALSE,FALSE,NA,NA
"2","@Alyssa73659856 You had the stomach flu ?",FALSE,0,"Alyssa73659856",2019-03-04 15:22:28,FALSE,"1102582302440214529","1102590136225751040","3197747863","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mufasamarielyss",0,FALSE,FALSE,NA,NA
"3","This flu is going to be the death of me. 😵",FALSE,0,NA,2019-03-04 15:22:13,FALSE,NA,"1102590074234064897",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","___yeii",0,FALSE,FALSE,NA,NA
"4","स्वाइन फ्लू से बचने के लिए नमस्ते करें या आदाब, गले भी न मिलें

बता रहे हैं @Prashantps100

:https://t.co/nQTr5SgsqO https://t.co/jpshswu4NP",FALSE,0,NA,2019-03-04 15:22:00,FALSE,NA,"1102590018969718786",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ThePrintHindi",0,FALSE,FALSE,NA,NA
"5","I think I caught the stomach flu from work. 🤢 I swear everyone has it",FALSE,0,NA,2019-03-04 15:21:49,FALSE,NA,"1102589975294468103",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bbylexxxx",0,FALSE,FALSE,NA,NA
"6","I remember one time being sick with the flu and woke up to Keith Flint performing Firestarter during a Victoria Sec… https://t.co/xmfC5kOxFh",FALSE,0,NA,2019-03-04 15:21:29,TRUE,NA,"1102589891152474112",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BlueQuartzGames",0,FALSE,FALSE,NA,NA
"7","Tanda-tanda flu dataaang",FALSE,0,NA,2019-03-04 15:21:10,FALSE,NA,"1102589808281497600",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DiajengNarita",0,FALSE,FALSE,NA,NA
"8","Dublin struggles to cope with volume of flu deaths | Century Ireland.   Heartbreaking read https://t.co/iD57ux8gSh",FALSE,0,NA,2019-03-04 15:21:09,FALSE,NA,"1102589805744005120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaodoherty",0,FALSE,FALSE,NA,NA
"9","Two Azumas in @NetworkRailKGX at once! 😍 @HitachiRailEU (operated by @GBRailfreight) 800201 5-car bimode RLU in unb… https://t.co/2CaCklmEqt",FALSE,0,NA,2019-03-04 15:21:07,TRUE,NA,"1102589799293177858",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cmpd_date",0,FALSE,FALSE,NA,NA
"10","Flu
Tec Cirio Quadros diz q é melhor para o Ypiranga RS se Maracanã não tiver tanta torcida, mas jogo se resolve dentro de campo.",FALSE,0,NA,2019-03-04 15:21:03,FALSE,NA,"1102589781840670720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","radiobrasil940",0,FALSE,FALSE,NA,NA
"11","Good morning yall :D I woke up with the flu, I will see How I feel with a later stream, but I can't do it for the Z… https://t.co/mfN1CmQmU8",FALSE,0,NA,2019-03-04 15:20:46,TRUE,NA,"1102589707945357312",NA,"<a href=""https://www.elgato.com/gaming"" rel=""nofollow"">Elgato Stream Deck</a>","TheZeldaAnn",0,FALSE,FALSE,NA,NA
"12","I thought I was getting better from the flu but now I’m back to the same symptoms- is it possible to have it twice in a row?",FALSE,0,NA,2019-03-04 15:20:34,FALSE,NA,"1102589659648008198",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","crsteph70",0,FALSE,FALSE,NA,NA
"13","CDC: Dangerous flu strain overtakes H1N1 this season.
https://t.co/ofB65IDfUe https://t.co/VXn04hjg4s",FALSE,0,NA,2019-03-04 15:20:29,FALSE,NA,"1102589637896388613",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","APSPharmacyFL",0,FALSE,FALSE,NA,NA
"14","Perks of drinking 2 litre water after maghrib and now i keep go to the toilet urghhh flu flu go awayyyyyyy !!",FALSE,0,NA,2019-03-04 15:20:18,FALSE,NA,"1102589590601228288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Masmerazhar",0,FALSE,FALSE,NA,NA
"15","Scientists Restart Research On Creating Deadly Bird Flu, With NIH's Blessing https://t.co/bZFWWRZPEv https://t.co/5HO58swzd5",FALSE,0,NA,2019-03-04 15:20:03,FALSE,NA,"1102589530136227840",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","MEDFARSolutions",0,FALSE,FALSE,NA,NA
"16","The trash are full, nobody but them but nothing clicks like “oh let us clean the bathroom” 🙄 like even when I had t… https://t.co/ZuOWT0nVEF",FALSE,0,NA,2019-03-04 15:20:01,TRUE,NA,"1102589519436701697",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wutisdemi",0,FALSE,FALSE,NA,NA
"17","Nike Air Jordan 12 Retro ""Flu Games"" Men Size 11.5 PO Condition 9/10 https://t.co/3IWjgtHBlc",FALSE,0,NA,2019-03-04 15:20:00,FALSE,NA,"1102589516165074944",NA,"<a href=""http://twibble.io"" rel=""nofollow"">Twibble.io</a>","ModernOwners",0,FALSE,FALSE,NA,NA
"18","I've had the flu like 3 times this year.🙄",FALSE,0,NA,2019-03-04 15:19:58,FALSE,NA,"1102589509332594689",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IsCuando",0,FALSE,FALSE,NA,NA
"19","Heavy snow on rooftops plus last week's flu prompts closure of Leadville schools. 20"" of snow just fell... https://t.co/OqDFtTVPBu",FALSE,0,NA,2019-03-04 15:19:54,FALSE,NA,"1102589492915929088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","owlwoman911_",0,FALSE,FALSE,NA,NA
"20","This flu is killing me",FALSE,0,NA,2019-03-04 15:19:44,FALSE,NA,"1102589449769242625",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","8lynkz",0,FALSE,FALSE,NA,NA
"21","YAY for stomach flu https://t.co/9CUrunp9N2",FALSE,0,NA,2019-03-04 15:19:27,FALSE,NA,"1102589377933242368",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","EmmyGrab",0,FALSE,FALSE,NA,NA
"22","Flu got me. 😷😷😷",FALSE,0,NA,2019-03-04 15:19:26,FALSE,NA,"1102589373915123712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ciao_Annin",0,FALSE,FALSE,NA,NA
"23","God please don’t let this doctor tell me I have the flu.",FALSE,0,NA,2019-03-04 15:19:24,FALSE,NA,"1102589363811246082",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_itsashleyc_",0,FALSE,FALSE,NA,NA
"24","Flu
Téc Cirio Quadros diz que time vem treinando no horário do jogo desta 4a, 21h30.",FALSE,0,NA,2019-03-04 15:19:23,FALSE,NA,"1102589361273614336",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","radiobrasil940",0,FALSE,FALSE,NA,NA
"25","The flu really sucks. https://t.co/pHntpMGspo",FALSE,2,NA,2019-03-04 15:18:58,FALSE,NA,"1102589255724007424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","britpopgirl",0,FALSE,FALSE,NA,NA
"26","@celestialsmut never ever had a red nose even when im sick with flu and whatnot, and i have bleary eyes even when i… https://t.co/FS9BPewG9K",FALSE,0,"celestialsmut",2019-03-04 15:18:53,TRUE,"1102586572535459841","1102589236220514304","3193315394","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vvaIaraz0r",0,FALSE,FALSE,NA,NA
"27","@gitadestaliana_ Flu plus batuk2, geb..
Tapi sepertinya lumayan parah juga radangnya..
Ku tepar sekali..",FALSE,0,"gitadestaliana_",2019-03-04 15:18:52,FALSE,"1102583738007904256","1102589230868381696","122324280","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","qq_ramadhan",0,FALSE,FALSE,NA,NA
"28","Flu
Téc Ypiranga RS, Cirio Quadros diz q jogo com Flu até tira concentração na segundona gaúcha. Treinador acredita… https://t.co/9vTPhr9ack",FALSE,1,NA,2019-03-04 15:18:38,TRUE,NA,"1102589172966178816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","radiobrasil940",0,FALSE,FALSE,NA,NA
"29","Maybe I'm feeling better after I took something for the flu/infection, but also maybe I'm just a little high from t… https://t.co/hZs6bKHcVA",FALSE,0,NA,2019-03-04 15:18:38,TRUE,NA,"1102589170457952256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LilibethOcean",0,FALSE,FALSE,NA,NA
"30","Back at work after a week of the flu and honestly I missed this",FALSE,0,NA,2019-03-04 15:18:37,FALSE,NA,"1102589167920402432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","erikastephaniie",0,FALSE,FALSE,NA,NA
"31","Have you seen our latest news? https://t.co/D0s2JMUNAQ https://t.co/mbiNkMQSPB",FALSE,0,NA,2019-03-04 15:18:22,FALSE,NA,"1102589103617597441",NA,"<a href=""http://www.constantcontact.com"" rel=""nofollow"">Constant Contact</a>","BCALIONSCHATT",0,FALSE,FALSE,NA,NA
"32","I just want this flu to go away, today I woke up and lost my voice :/",FALSE,1,NA,2019-03-04 15:18:20,FALSE,NA,"1102589094968750083",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lesibarra_",0,FALSE,FALSE,NA,NA
"33","If the flu is really what’s killing the isles, I’ll be convinced Lou is an anti-vaxxer and convinced the team not to get the flu shot",FALSE,1,NA,2019-03-04 15:18:10,FALSE,NA,"1102589055437463552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BootlegFrans",0,FALSE,FALSE,NA,NA
"34","@_breecooper @AshleyNicoleeM Ohhhh lol thought u meant you had the piercing since Friday lol yeah fuck that they ar… https://t.co/v23DX5jE7G",FALSE,0,"_breecooper",2019-03-04 15:18:02,TRUE,"1102588533833953281","1102589021715345408","1039655152460939266","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dorothy_182",0,FALSE,FALSE,NA,NA
"35","I have the legitimate flu, but I need soup and meds and pedialyte so if you see me out at the store looking like a… https://t.co/uidJLZZkDr",FALSE,0,NA,2019-03-04 15:17:58,TRUE,NA,"1102589005215006722",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Erinn_Brooke",0,FALSE,FALSE,NA,NA
"36","Hujan, panas tak menentu, lalu  mudah terserang flu. #Biotizen sudah pernah coba proteksi diri dengan vaksinasi inf… https://t.co/RabJAyzAFm",FALSE,0,NA,2019-03-04 15:17:53,TRUE,NA,"1102588982494257152",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","biofarmaID",0,FALSE,FALSE,"107.60087013","-6.89973585"
"37","Protip: the flu is awful, don't get it. https://t.co/DZLHWQCiqB",FALSE,0,NA,2019-03-04 15:17:46,FALSE,NA,"1102588954014957568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","runcibilities",0,FALSE,FALSE,NA,NA
"38","2枚目:Wikipedia「Influenza」より。

3枚目:CIRIscience「Influenza Virus」より。

4枚目: The flu that changed the worldより。",FALSE,0,"2AAqueuexGyBoQi",2019-03-04 15:17:40,FALSE,"1102581904858013697","1102588929637703680","982210107948724230","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2AAqueuexGyBoQi",0,FALSE,FALSE,NA,NA
"39","So, my Houston trip is cancelled as of today. Scheduled for our trip is this weekend and please pray for my little… https://t.co/LHqKgXKuuk",FALSE,1,NA,2019-03-04 15:17:17,TRUE,NA,"1102588834305507328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DanaBrigoli",0,FALSE,FALSE,NA,NA
"40","i knew it was the flu 🤦🏽‍♀️. them body chills hit you different.",FALSE,0,NA,2019-03-04 15:17:03,FALSE,NA,"1102588773790072832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Angeliquescottt",0,FALSE,FALSE,NA,NA
"41","@HeyItsCrouton Someone has man flu lol",FALSE,1,"HeyItsCrouton",2019-03-04 15:16:59,FALSE,"1102587886359269377","1102588757650354178","984437513090666496","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DEREKTIMPERS",0,FALSE,FALSE,NA,NA
"42","@Faentomet I’ve never taken the flu vaccine here we just power through it",FALSE,0,"Faentomet",2019-03-04 15:16:58,FALSE,"1102586079419469825","1102588754273947650","824192464630284290","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","krisn0va",0,FALSE,FALSE,NA,NA
"43","*lagibersin* tbtb ayah bilang ""virus"" 
Lahh aku flu bendino ga leren2, berarti aku bendino iku virus ? 😶",FALSE,0,NA,2019-03-04 15:16:51,FALSE,NA,"1102588722065768449",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Niella_vea",0,FALSE,FALSE,NA,NA
"44","pusing sebelum kena flu tuh sumpah gaenak 😭 ))",FALSE,0,NA,2019-03-04 15:16:36,FALSE,NA,"1102588660870873088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GDYUJU97",0,FALSE,FALSE,NA,NA
"45","Flu
Téc Cirio Quadros diz que jogo desta 4a será histórico para o Ypiranga RS e diz que time tem boa qualidade técn… https://t.co/NWARwPSnAl",FALSE,1,NA,2019-03-04 15:16:33,TRUE,NA,"1102588647029772292",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","radiobrasil940",0,FALSE,FALSE,NA,NA
"46","Abis minum obat flu tapi ga ngantuk2",FALSE,0,NA,2019-03-04 15:16:23,FALSE,NA,"1102588607951331334",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fancheeks",0,FALSE,FALSE,NA,NA
"47","@sindivanzyl I hear you on this. But the first time in my life I decided to get vaccinated I got gravely ill. I tho… https://t.co/xZHsS7M8bv",FALSE,0,"sindivanzyl",2019-03-04 15:16:23,TRUE,"1102575972635852801","1102588606777053186","257612058","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nkgwete",0,FALSE,FALSE,NA,NA
"48","Strep-&gt;Flu-&gt;Cold-&gt;Sinus Infection. That’s how my last 7 days have been",FALSE,0,NA,2019-03-04 15:16:21,FALSE,NA,"1102588597545381888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iDroidGuy",0,FALSE,FALSE,NA,NA
"49","@NostalgiaFlu Nós que agradecemos vocês venderem a preço de pinga, o cara simplesmente já deu 8 assistências. Obrigado, flu.",FALSE,3,"NostalgiaFlu",2019-03-04 15:16:15,FALSE,"1100946684056608768","1102588570873856000","3828460817","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bssj2017",0,FALSE,FALSE,NA,NA
"50","#film #cinema #movies #moviestars #ElizabethTaylor 
March 4, 1961.  Work on Cleopatra halts when Elizabeth Taylor,… https://t.co/JxL6w6kcA6",FALSE,0,NA,2019-03-04 15:16:00,TRUE,NA,"1102588510945660928",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GeneBro58636254",0,FALSE,FALSE,NA,NA
"51","So jealous of people meeting Shawn. My parents would never let me go and walk around a town like that. Plus I think… https://t.co/xmXE5KWuZS",FALSE,0,NA,2019-03-04 15:15:51,TRUE,NA,"1102588470067937280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SMGLover1996",0,FALSE,FALSE,NA,NA
