"","screenName","location","lon","lat"
"MaxRadioCanada","MaxRadioCanada","Vancouver, BC, Canada",-123.1207375,49.2827291
"mufasamarielyss","mufasamarielyss","Disneyland w/ anthony💝",-117.9189742,33.8120918
"___yeii","___yeii","New London, CT",-72.0995209,41.3556539
"ThePrintHindi","ThePrintHindi","New Delhi, India",77.2090212,28.6139391
"DiajengNarita","DiajengNarita","Sidoarjo, Jawa Timur",112.6675398,-7.4726134
"jaodoherty","jaodoherty","Clare, Ireland",-8.9811351,52.904532
"cmpd_date","cmpd_date","London, England",-0.1277583,51.5073509
"radiobrasil940","radiobrasil940","Rio de Janeiro",-43.1728965,-22.9068467
"crsteph70","crsteph70","Fairhope, AL",-87.9033261,30.5229719
"APSPharmacyFL","APSPharmacyFL","Palm Harbor, FL",-82.7637127,28.0780718
"MEDFARSolutions","MEDFARSolutions","Canada",-106.346771,56.130366
"ModernOwners","ModernOwners","Online!",-95.712891,37.09024
"Ciao_Annin","Ciao_Annin","マレーシア ",101.975766,4.210484
"britpopgirl","britpopgirl","Boston, MA",-71.0588801,42.3600825
"qq_ramadhan","qq_ramadhan","Jakarta, Indonesia",106.845599,-6.2087634
"lesibarra_","lesibarra_","Daylight",-95.7070877,37.2292056
"BootlegFrans","BootlegFrans","Honolulu, HI",-157.8583333,21.3069444
"Dorothy_182","Dorothy_182","michigan",-85.6023643,44.3148443
"biofarmaID","biofarmaID","Bandung, Indonesia",107.6191228,-6.9174639
"runcibilities","runcibilities","Alameda, CA",-122.2416355,37.7652065
"DanaBrigoli","DanaBrigoli","Houma, Louisiana",-90.7195348,29.5957696
"Angeliquescottt","Angeliquescottt","Baton Rouge, LA",-91.1871466,30.4514677
"krisn0va","krisn0va","Norway",8.468946,60.472024
"fancheeks","fancheeks","Indonesia",113.921327,-0.789275
"nkgwete","nkgwete","JHB, South Africa",28.0473051,-26.2041028
"iDroidGuy","iDroidGuy","USA",-95.712891,37.09024
"GeneBro58636254","GeneBro58636254","Brooklyn, NY",-73.9441579,40.6781784
"SMGLover1996","SMGLover1996","Belgium",4.469936,50.503887
"OklahomaHoney_","OklahomaHoney_","The 580",-121.9167444,37.7020314
"boompower2018","boompower2018","Milton Keynes, England",-0.7594171,52.0406224
"DiscoverBWP","DiscoverBWP","Bahawalpur",71.691066,29.35435
"janenor53682494","janenor53682494","England, United Kingdom",-1.1743197,52.3555177
"christianjevans","christianjevans","Peoria,IL",-89.5889864,40.6936488
"LuAnn_1970","LuAnn_1970","Maryland, USA",-76.6412712,39.0457549
"gradyfilm","gradyfilm","New York, NY",-74.0059728,40.7127753
"Michaela_Stull","Michaela_Stull","Thurmont, MD",-77.4108201,39.6237094
"CheepnisNHL","CheepnisNHL","Dublin, OH",-83.1140771,40.0992294
"newartillery","newartillery","Stoneham, MA",-71.0999719,42.4802469
"pash22","pash22","United Kingdom",-3.435973,55.378051
"httpeachloe","httpeachloe","Arkansas City, KS",-97.0383712,37.0619736
"kaylamarie413","kaylamarie413","Boston, MA",-71.0588801,42.3600825
"thonight_sccp","thonight_sccp","Rio de Janeiro",-43.1728965,-22.9068467
"gray_ghostie","gray_ghostie","New Orleans, LA",-90.0715323,29.9510658
"nctjngjaeh","nctjngjaeh","Seoul, Republic of Korea",126.9779692,37.566535
"DrADFinch","DrADFinch","Nashville, TN",-86.7816016,36.1626638
"iaeaorg","iaeaorg","Vienna, Austria",16.3738189,48.2081743
"kelvinomere","kelvinomere","Winnipeg, Manitoba",-97.1383744,49.895136
"Warrior_Bishop","Warrior_Bishop","Kattegat",11.3004451,56.952041
"donna_mce_98_x","donna_mce_98_x","Glasgow",-4.251806,55.864237
"scild_weall","scild_weall","Prepare. Buy a pig farm",-73.352099,43.084631
"katiewags12","katiewags12","Charming, California ",-121.3137241,37.9989377
"erikmoldwarrior","erikmoldwarrior","Reno",-119.8138027,39.5296329
"lappedtrafficpc","lappedtrafficpc","Berkley, MI",-83.1835389,42.5030908
"NHSaaa","NHSaaa","Ayrshire",-4.6679959,55.3649698
"ADHPIO","ADHPIO","Little Rock, AR 72205",-92.3542193,34.7486563
"__Bontle","__Bontle","The Kitchen ",-95.8324997,37.529724
"sakinahsyaf","sakinahsyaf","Makassar, Indonesia",119.4327314,-5.1476651
"bybo_dus","bybo_dus","Jakarta | Malang",112.6326321,-7.9666204
"Moe_Idrees","Moe_Idrees","المدينة المن, المملكة العربية ",39.3206241,24.8403977
"Mahuntsu","Mahuntsu","Makhwivirini",30.7378688,-23.6293278
"FD_SHTFWarning","FD_SHTFWarning","USA",-95.712891,37.09024
"Deb27Debbie","Deb27Debbie","Toronto, Ontario",-79.3831843,43.653226
"lisammunoz","lisammunoz","Austin, TX",-97.7430608,30.267153
"scwiley","scwiley","Boca Raton, FL",-80.1289321,26.3683064
"Sevhic_","Sevhic_","Troll Research Airfield ",2.535,-72.011389
"tothereandback","tothereandback","Indianapolis",-86.158068,39.768403
"hornswaggled2","hornswaggled2","United States",-95.712891,37.09024
"diannaeanderson","diannaeanderson","Minneapolis, MN",-93.2650108,44.977753
"jorgemachaen","jorgemachaen","Here",-95.9359977,36.7435531
"brooke_bmh","brooke_bmh","ohio",-82.907123,40.4172871
"RosieToTheWebb","RosieToTheWebb","Gosport, England",-1.117547,50.794995
"CL_Chaos","CL_Chaos","Stony Plain Alberta Canada",-114.001928,53.5279314
"dreamville_cruz","dreamville_cruz","New York, USA",-74.0059728,40.7127753
"dilladestri20","dilladestri20","Jawa Barat",107.668887,-7.090911
"thatnceq","thatnceq","252",-96.1102943,38.2840702
"CenturyLLC","CenturyLLC","Greensboro, NC",-79.7919754,36.0726354
"anoudsalman98","anoudsalman98","KSU",-84.5815717,34.0380784
"flu_lipe","flu_lipe","Brazil",-51.92528,-14.235004
"F_De_Flash","F_De_Flash","São Paulo",-46.6333094,-23.5505199
"ThoreauSquad","ThoreauSquad","New York, NY",-74.0059728,40.7127753
"imaniaaufa","imaniaaufa","Yogyakarta, Indonesia",110.3694896,-7.7955798
"lyhtweets","lyhtweets","m",-95.712891,37.09024
"MichaelGelose","MichaelGelose","Upstate New York",-76.1398137,43.0422845
"TheLaurieKirk","TheLaurieKirk","Reeders, PA",-75.3360172,41.0189803
"KenaShree","KenaShree","India",78.96288,20.593684
"aysyikarimah","aysyikarimah","Jakarta, Indonesia",106.845599,-6.2087634
"meelbox","meelbox","anteiku",-99.0021751,19.6460312
"WR_Record","WR_Record","Waterloo Region, ON",-80.543845,43.4757989
"ashleelegg","ashleelegg","orlando, fl",-81.3792365,28.5383355
"CarolineMugz","CarolineMugz","Malawi",34.301525,-13.254308
"wilsonjmashaka","wilsonjmashaka","Tanga, Tanzania",39.1023228,-5.0888751
"MontefioreNYC","MontefioreNYC","New York City",-74.0059728,40.7127753
"HeavensGroveLLC","HeavensGroveLLC","Chesapeake, VA",-76.2874927,36.7682088
"CanineCluster","CanineCluster","Edinburgh",-3.188267,55.953252
"DonnaDlm71","DonnaDlm71","United Kingdom",-3.435973,55.378051
"NCmuseumhistory","NCmuseumhistory","5 East Edenton St. Raleigh, NC",-78.6386325,35.7816882
"anisasings","anisasings","Ladera Heights, CA",-118.3703703,33.9877762
"Healthiest_","Healthiest_","San Francisco, CA",-122.4194155,37.7749295
"Kanalz","Kanalz","Burbank, CA",-118.3089661,34.1808392
"news4buffalo","news4buffalo","Buffalo, NY",-78.8783689,42.8864468
"Ariella09","Ariella09","Chicago",-87.6297982,41.8781136
"shayronatweets","shayronatweets","Halifax, NS",-63.5752387,44.6487635
"lexicrete","lexicrete","Oswego, IL",-88.3514596,41.6828074
"paulaxbws","paulaxbws","Spain",-3.74922,40.463667
"Offbeatbeing","Offbeatbeing","Lost",-94.6171303,36.834603
"TheYoungCatLady","TheYoungCatLady","Texas",-99.9018131,31.9685988
"regular_ray","regular_ray","Rochester NY 585",-77.6079208,43.1749598
"Lynn_onward","Lynn_onward","Missouri",-91.8318334,37.9642529
"SabrinaMines","SabrinaMines","Richmond, VA",-77.4360481,37.5407246
"kath2cats","kath2cats","San Francisco Bay Area",-122.2913078,37.8271784
"MiamiSpine247","MiamiSpine247","miami fl",-80.1917902,25.7616798
"ncappraiser30","ncappraiser30","Gibsonville, NC",-79.5422461,36.105691
"asthmauk","asthmauk","UK",-3.435973,55.378051
"KeepnItKappa","KeepnItKappa","Iowa, USA",-93.097702,41.8780025
"hashnashik","hashnashik","Nashik, India",73.7898023,19.9974533
"Beak_Healthy","Beak_Healthy","Lawrence, KS",-95.2352501,38.9716689
"tianatogqt","tianatogqt","Central, SC",-82.7812526,34.7242749
"Wentzello","Wentzello","Johannesburg | Florida, NY",-74.35682,41.3317606
"Phatswagg","Phatswagg","PRESTIGE WORLDWIDE",-97.6553119,35.493885
"MsMaryRoberts","MsMaryRoberts","Tallahassee, FL",-84.2807329,30.4382559
"BumperToJumper","BumperToJumper","Torbay/Lambourn",-1.531531,51.507954
"lynzerbean","lynzerbean","Tinton Falls, NJ",-74.1004185,40.3042773
"ThaTexasTerror","ThaTexasTerror","Addison, TX",-96.8291685,32.96179
"kikisvegkitchen","kikisvegkitchen","North Vancouver, BC",-123.0724139,49.3199816
"nnnaanoooo","nnnaanoooo","Ampang",101.7624521,3.149099
"OldLenOddity","OldLenOddity","Texas, USA",-99.9018131,31.9685988
"Emmerbetic","Emmerbetic","New England ",-70.8226541,43.9653889
"trabblescrabble","trabblescrabble","Washington, DC",-77.0368707,38.9071923
"FLU_2Cold","FLU_2Cold","Columbus, OH",-82.9987942,39.9611755
"jtrill_","jtrill_","Morgan State University, Baltimore",-76.5843847,39.3437959
"pink_flemingo","pink_flemingo","Tampa, FL",-82.4571776,27.950575
"The_Stethman","The_Stethman","Multan, Pakistan",71.5249154,30.157458
"dannyboycalder","dannyboycalder","New York, NY",-74.0059728,40.7127753
"nurulekin58","nurulekin58","Malaysia",101.975766,4.210484
"AbeSaffer","AbeSaffer","Washington DC",-77.0368707,38.9071923
"suummmerrrr__","suummmerrrr__","Murfreesboro, TN",-86.39027,35.8456213
"KaeyiDream","KaeyiDream","London, England",-0.1277583,51.5073509
"rumputajaib","rumputajaib","Jakarta Utara, DKI Jakarta",106.8926634,-6.1554057
