"","screenName","location","lon","lat"
"MdVetBoard","MdVetBoard","Annapolis, MD",-76.4921829,38.9784453
"lorenapossieri","lorenapossieri","amelia terni",12.4146361,42.5567718
"mala_influenza","mala_influenza","Monterrey, N.L., Mexico",-100.3161126,25.6866142
"eriklutz","eriklutz","Clinton, IA",-90.1887379,41.8444735
"imagenpoblana","imagenpoblana","Puebla, México",-98.2062727,19.0414398
"censia_salud","censia_salud","Ciudad de México",-99.133208,19.4326077
"emendezalvarez","emendezalvarez","Tijuana, B.C.",-117.0382471,32.5149469
"allsmilesasap","allsmilesasap","Home",-95.712891,37.09024
"stephendpalley","stephendpalley","D.C.",-95.712891,37.09024
"thedextazlab","thedextazlab","Dar es Salaam, Tanzania",39.2083284,-6.792354
"AZStamac","AZStamac","Zagreb",15.9819189,45.8150108
"lrj4th","lrj4th","South East",-95.6276367,37.0358272
"technicalfoul2","technicalfoul2","Boston, MA",-71.0588801,42.3600825
"AvoidinValhalla","AvoidinValhalla","Silver Springs  🎠🗡🐍",-82.0561425,29.2180314
"autosuficientee","autosuficientee","Monterrey, N.L",-100.3161126,25.6866142
"mandyssbc","mandyssbc","Bethel, WA",-122.6300717,47.4941559
"momof2dinosaurs","momof2dinosaurs","Texas, USA",-99.9018131,31.9685988
"MaureenSpence24","MaureenSpence24","North Weymouth, MA",-70.9467133,42.2459331
"naledge808","naledge808","hilo, hawaii",-155.0868193,19.7241106
"LaJornadaBC","LaJornadaBC","Tijuana Mexicali Ensenada ",-116.9686338,32.4972338
"KidzBizPedz","KidzBizPedz","Festus, MO",-90.3959543,38.2206101
"JasonKirchick","JasonKirchick","Burlington, VT",-73.212072,44.4758825
"UofU3i","UofU3i","Salt Lake City, UT",-111.8910474,40.7607793
"alfonso_casi","alfonso_casi","Vitoria-Gasteiz, Spain",-2.6817918,42.8591656
"njspotlight","njspotlight","New Jersey",-74.4056612,40.0583238
"sumedico","sumedico","México D.F.",-99.133208,19.4326077
"Notimex","Notimex","México",-102.552784,23.634501
"RaquelCarrera","RaquelCarrera","Monterrey, Nuevo León",-100.3161126,25.6866142
"TribunaDiario","TribunaDiario","San José del Cabo, BCS, México",-109.7024376,23.0636562
"ingriddiamond","ingriddiamond","Mexico city",-99.133208,19.4326077
"BuffaloCelly","BuffaloCelly","Buffalo",-78.8783689,42.8864468
"bds_lumc","bds_lumc","Leyden, The Netherlands",4.4970097,52.1601144
"Maqaiti","Maqaiti","Iqaluit, Nunavut",-68.5169669,63.746693
"mayumiguillen","mayumiguillen","México",-102.552784,23.634501
"elysianbxy","elysianbxy","Fiona.",-81.4069081,41.6398449
"SabioSam","SabioSam","Northern Water Tribe",-108.637363,42.986523
"tizianospout","tizianospout","Napoli ",-94.705405,37.4196255
"Salud_Hidalgo","Salud_Hidalgo","Hidalgo, México",-98.7623874,20.0910963
"ijser_research","ijser_research","France",2.213749,46.227638
"NoticiasCanal6","NoticiasCanal6","Rioverde SLP",-99.9856344,21.9277923
"AndreaVarosi","AndreaVarosi","Italia",12.56738,41.87194
"biofarmaID","biofarmaID","Bandung, Indonesia",107.6191228,-6.9174639
"GeorgiaStateLaw","GeorgiaStateLaw","Atlanta",-84.3879824,33.7489954
"RaulCobosAgs","RaulCobosAgs","Aguascalientes, México",-102.2915677,21.8852562
"RaulCobosTV3","RaulCobosTV3","Aguascalientes, México",-102.2915677,21.8852562
"RaulCobosTV2","RaulCobosTV2","México",-102.552784,23.634501
"noticiasmexico","noticiasmexico","Mexico",-102.552784,23.634501
"vsilberstein","vsilberstein","México , DF",-99.133208,19.4326077
"Excelsior_TV","Excelsior_TV","Orange CA",-117.8531007,33.7879139
"RaulCobosTV","RaulCobosTV","Aguascalientes",-102.2915677,21.8852562
"ToddOnTheRadio","ToddOnTheRadio","Houghton, MI",-88.5694182,47.1211331
"Gabryelfranco","Gabryelfranco","Culiacán, Sinaloa",-107.3940117,24.8090649
"cabeceramx","cabeceramx","Guadalajara, Jalisco",-103.3496092,20.6596988
"wolvfm","wolvfm","Houghton, MI",-88.5694182,47.1211331
"OnceNoticiasTV","OnceNoticiasTV","México",-102.552784,23.634501
"PilotziNoticias","PilotziNoticias","Distrito Federal, México",-99.133208,19.4326077
"NW_Guanajuato","NW_Guanajuato","Guanajuato, México",-101.2573586,21.0190145
"Salud_Ec","Salud_Ec","Ecuador",-78.183406,-1.831239
"GreenLPharmaUK","GreenLPharmaUK","Saint Helens, England",-2.737095,53.456307
"karlamontsserra","karlamontsserra","Monterrey ",-100.3161126,25.6866142
"TeleClubItalia","TeleClubItalia","Giugliano (NA) e Aversa (CE)",14.2076688,40.9731743
"Lynn_onward","Lynn_onward","Missouri",-91.8318334,37.9642529
"kreport","kreport","Houghton, MI",-88.5694182,47.1211331
"TranslaNewsHkEn","TranslaNewsHkEn","JAPAN",138.252924,36.204824
"atupervoi","atupervoi","Torino",7.686864,45.0703393
"popped_sugar","popped_sugar","South Africa",22.937506,-30.559482
"ItsMinabo","ItsMinabo","Nairobi,kenya",36.8219462,-1.2920659
"FabioTC1210","FabioTC1210","Tuscania, Lazio",11.8703089,42.4185731
"ACMC_Clinics","ACMC_Clinics","Minnesota",-94.6858998,46.729553
"MAhealthforkids","MAhealthforkids","Massachusetts, USA",-71.3824374,42.4072107
"BasicLifeSupp","BasicLifeSupp","Italia",12.56738,41.87194
"TeoMalac","TeoMalac","Milano, Lombardia",9.189982,45.4642035
"hammondfuturist","hammondfuturist","London and around the world",-0.2559327,51.4033291
"AJPHThinkTank","AJPHThinkTank","Washington, DC",-77.0368707,38.9071923
"IPS_Infection","IPS_Infection","UK & Ireland",-3.435973,55.378051
"Merton_Council","Merton_Council","Merton",-88.3067614,43.1466739
"ReNueSherman","ReNueSherman","Sherman, TX",-96.6088805,33.6356618
"akelvinlab","akelvinlab","Halifax, Nova Scotia",-63.5752387,44.6487635
"pipandbaby","pipandbaby","Connecticut, USA",-73.087749,41.6032207
"kerafast","kerafast","Boston, MA",-71.0588801,42.3600825
"almagoch","almagoch","CDMX",-99.133208,19.4326077
"Planoinforma","Planoinforma","San Luis Potosí, México",-100.9855409,22.1564699
"DonPayne17","DonPayne17","United States",-95.712891,37.09024
"FDAadcomm","FDAadcomm","Washington DC",-77.0368707,38.9071923
"YabaiKankei","YabaiKankei","In the pharmacy, waiting.",-86.1658773,39.767889
"LibraryHMHS","LibraryHMHS","Haddonfield, New Jersey",-75.0376707,39.8915022
"Change_HC","Change_HC","Nashville, TN",-86.7816016,36.1626638
"preuniop","preuniop","Rome, Lazio",12.4963655,41.9027835
"UMN_swine_group","UMN_swine_group","St Paul, MN",-93.0899578,44.9537029
"elisagad","elisagad","Molfetta, Puglia",16.5987187,41.2027767
"Contagion_Live","Contagion_Live","International",-95.712891,37.09024
"saludjalisco","saludjalisco","Guadalajara, Jalisco",-103.3496092,20.6596988
"MultiBriefs","MultiBriefs","Irving, TX",-96.9488945,32.8140177
"StabellBenn","StabellBenn","Copenhagen, Denmark",12.5683372,55.6760968
"MDedgeIntMed","MDedgeIntMed","Rockville, Maryland, USA",-77.1527578,39.0839973
"MDedgeFamilyMed","MDedgeFamilyMed","Rockville, MD & Parsippany, NJ",-77.1527578,39.0839973
"CanineCampusCO","CanineCampusCO","Colorado Springs, Colorado",-104.8213634,38.8338816
"albaa_b","albaa_b","Reggiolo, Italy",10.8025268,44.9177593
"xKlepto91","xKlepto91","Unknown",-80.8575394,35.2205059
"callemexico","callemexico","Cdmx",-99.133208,19.4326077
"marianurquieta","marianurquieta","Monterrey, Nuevo León",-100.3161126,25.6866142
"Bisco_3","Bisco_3","Milan, Italy",9.189982,45.4642035
"BIOCIENCIA2013","BIOCIENCIA2013","Cumaná",-64.183316,10.431916
"jurreysi","jurreysi","Rotterdam, The Netherlands",4.4777326,51.9244201
"bassairpinia","bassairpinia","Via F. De Sanctis, Avella (AV)",14.5967078,40.9593334
"ilmessaggeroit","ilmessaggeroit","Rome",12.4963655,41.9027835
"Evan_Harrey","Evan_Harrey","Colombia",-74.297333,4.570868
"AmeshAA","AmeshAA","Pittsburgh, Baltimore, NYC",-74.0059728,40.7127753
"ILRBSS","ILRBSS","Italy ",12.56738,41.87194
"flpsq","flpsq","Arezzo, Toscana",11.8796336,43.4632839
"mtmdphd","mtmdphd","Milwaukee, WI",-87.9064736,43.0389025
"unlikemiche_","unlikemiche_","Genoa, Liguria",8.946256,44.4056499
"kprkoranda","kprkoranda","Topeka, KS",-95.6751576,39.0473451
"Bossoft","Bossoft","Boston, MA, USA",-71.0588801,42.3600825
"infrangersi","infrangersi","Praha, Česká Republika.",14.4378005,50.0755381
"SanaguiClaudia","SanaguiClaudia","CDMX",-99.133208,19.4326077
"Px_Flo","Px_Flo","51 Iweka Road 😈",6.7889867,6.1366547
"consumatori","consumatori","Italia",12.56738,41.87194
"TehHarkster","TehHarkster","Italia",12.56738,41.87194
"idw_online_en","idw_online_en","Germany",10.451526,51.165691
"eboneeast","eboneeast","Inland Empire, California",-116.419389,34.9592083
"IsoradioRai","IsoradioRai","Roma, Lazio",12.4963655,41.9027835
"NTOaxaca","NTOaxaca","Oaxaca, Mexico",-96.7265889,17.0731842
"Javihilde","Javihilde","Chiclayo, Peru",-79.8442978,-6.7765974
"Steelr95","Steelr95","Ohio, USA",-82.907123,40.4172871
"andrea_pecchia","andrea_pecchia","Frascati, Roma",12.6761041,41.8085208
"Francis02343112","Francis02343112","CD de México ",-99.133208,19.4326077
"kosherjellyfish","kosherjellyfish","Singapore!",103.819836,1.352083
"Micahesq","Micahesq","Nigeria",8.675277,9.081999
"blogstreetnews","blogstreetnews","Padova, Italy",11.8767611,45.4064349
"FabioMassi","FabioMassi","Roma",-95.9036356,36.0766378
"la_skinnyy","la_skinnyy","Dietro l'angolo.",12.479372,41.9058848
"the_paper_link","the_paper_link","Shanghai",121.4737021,31.2303904
"Juicy_Room","Juicy_Room","Roma",-95.9036356,36.0766378
"chrystalena82","chrystalena82","St Charles, MO",-90.4974359,38.7881062
"SoloMilan68","SoloMilan68","Kuala Lumpur City",101.686855,3.139003
"nick_eichler","nick_eichler","Dublin City, Ireland",-6.2603097,53.3498053
"partyvistamare","partyvistamare","Il sea-blog di Danila Pecoraro",-89.3985283,40.6331249
"CriterioHidalgo","CriterioHidalgo","Pachuca, Hidalgo, México",-98.7591311,20.1010608
"Bibolotty","Bibolotty","Roma- Italy",12.4963655,41.9027835
"Majin79","Majin79","Napoli, Campania",14.26812,40.8517983
"grislda_","grislda_","random.",-98.7716764,29.8301319
"joseclaudiov","joseclaudiov","México",-102.552784,23.634501
"BlackPhysicists","BlackPhysicists","Arlington, VA and Worldwide ",-77.0486936,38.8538222
"ChintyaMeyga","ChintyaMeyga","Central Sulawesi, Indonesia",121.4456179,-1.4300254
"AnnydettaPolly","AnnydettaPolly","Roma, Lazio",12.4963655,41.9027835
"CushnocRA","CushnocRA","Augusta, ME",-69.7794897,44.3106241
"outbreaksci","outbreaksci","United States",-95.712891,37.09024
"noth2loos","noth2loos","somewhere",-84.1167726,40.7428832
"mariannaaprile","mariannaaprile","Milano/Roma",9.2106307,45.4586532
"healthjoy8","healthjoy8","Rookery Drive, luton, LU2 7FG",-0.4159217,51.9094821
"rudra_channa","rudra_channa","Memphis, TN",-90.0489801,35.1495343
"rvosecat","rvosecat","Napoli, Campania",14.26812,40.8517983
"MikaOutlaw","MikaOutlaw","Berlin",13.404954,52.5200066
"HAK_5","HAK_5","Vienna",16.3738189,48.2081743
"Il_Paradroide","Il_Paradroide","Rome, Italy, Earth",12.4963655,41.9027835
"radioinvisibili","radioinvisibili","roma",-95.9036356,36.0766378
